*DESC,R,TB,LR,C,R,W,H,G,CF
*Description,Reserved,Top&BottomMargin,Left&RightMargin,#Columns,#Rows,Width,Height,Gutter,ContinuousForm?
5883 Name Tag - Blue (2-1/6"x3-1/2"),0,1.417,0.939,2,4,3.000,2.167,0.500,0
5895 Name Badge - Blue (2-1/3"x3-3/8"),0,0.646,0.751,2,4,3.187,2.500,0.563,0
5896 3-1/2" Diskette - Blue (2-3/4"x2-3/4"),0,0.500,0.125,3,3,2.750,3.000,0.000,0
5897 5-1/4" Diskette - Blue (1-1/2"x4"),0,1.000,0.156,2,6,4.000,1.500,0.188,0
LSK-3 Index Maker 3 Tab (1/2"x3-1/8"),0,0.500,0.500,2,20,3.125,0.500,1.250,0
LSK-5 Index Maker 5 Tab (1/2"x1-3/4"),0,0.500,0.237,4,20,1.750,0.500,0.300,0
LSK-8 Index Maker 8 Tab (1/2"x1-1/8"),0,0.500,0.500,4,20,1.125,0.500,1.000,0
RI-213-5 Ready Index 5 Tab (2"x3"),0,0.630,5.125,1,5,3.000,2.000,0.000,0
RI-213-8 Ready Index 8 Tab (1.22"x3"),0,0.630,5.125,1,8,3.000,1.220,0.000,0
R1-213-10 Ready Index 10 Tab (1"x3"),0,0.630,5.125,1,10,3.000,1.000,0.000,0
RI-213-12 Ready Index 12 Tab (0.84"x3"),0,0.500,5.125,1,12,3.000,0.840,0.000,0
RI-213-15 Ready Index 15 Tab (0.63"x3"),0,0.940,5.125,1,15,3.000,0.630,0.000,0

